order_id,customer_id,order_date
1,49,2025-10-01
2,77,2025-12-05
3,60,2025-12-31
4,68,2025-08-13
5,33,2026-03-31
6,71,2026-07-09
7,2,2025-11-22
8,88,2026-03-16
9,93,2025-11-15
10,15,2026-03-31
11,88,2026-06-11
12,69,2025-09-03
13,97,2026-04-22
14,35,2026-07-01
15,99,2025-11-10
16,83,2026-01-29
17,44,2025-11-14
18,15,2026-04-01
19,38,2025-12-22
20,56,2025-11-20
21,21,2025-12-20
22,59,2026-04-13
23,1,2025-11-08
24,93,2026-02-17
25,93,2025-09-04
26,34,2025-09-29
27,65,2025-12-27
28,98,2026-04-01
29,23,2026-07-17
30,65,2025-12-11
31,14,2026-04-06
32,81,2026-05-03
33,39,2026-07-02
34,82,2025-09-22
35,65,2026-03-13
36,78,2026-02-23
37,26,2025-11-10
38,20,2025-12-21
39,48,2026-02-14
40,98,2026-06-05
41,21,2025-07-17
42,70,2025-11-12
43,100,2025-11-05
44,68,2025-10-06
45,1,2025-12-30
46,77,2026-05-18
47,42,2026-02-27
48,63,2026-03-09
49,3,2026-03-28
50,15,2025-11-19
51,47,2026-01-13
52,40,2026-01-04
53,31,2026-01-04
54,8,2026-04-05
55,31,2025-10-07
56,73,2026-01-31
57,11,2026-01-16
58,11,2026-05-21
59,94,2026-07-01
60,63,2026-05-22
61,9,2026-04-28
62,98,2025-09-20
63,69,2026-03-29
64,99,2025-08-18
65,17,2025-11-04
66,17,2026-02-02
67,85,2026-03-31
68,61,2026-03-19
69,71,2026-03-14
70,22,2025-11-24
71,34,2025-08-22
72,68,2026-05-30
73,78,2026-05-04
74,55,2025-10-16
75,28,2026-04-04
76,70,2025-11-14
77,97,2025-10-12
78,94,2026-05-26
79,89,2025-10-02
80,26,2025-09-12
81,92,2025-07-26
82,40,2025-08-03
83,52,2025-10-20
84,86,2026-01-17
85,84,2026-03-11
86,48,2026-06-12
87,57,2026-05-11
88,67,2025-08-14
89,58,2026-01-09
90,16,2025-12-24
91,32,2026-06-26
92,29,2026-03-18
93,9,2026-02-25
94,44,2025-09-30
95,3,2026-04-21
96,76,2026-04-13
97,71,2025-12-13
